UNIQUE_ID,AGE,EDUCATION,EDUCATION-NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,NATIVE_COUNTRY
7369,37 YEARS OLD,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
7325,23,         HS-grad,9,Never-married,Sales,Not-in-family,White,male,United-States
11841,37,Bachelors,13,Married-civ-spouse,Sales,Husband,White,male,United-States
8364,49,Some  -  college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,male,United-States
7034,56,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
7458,29,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,Portugal
8680,29,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
11528,61,Some  -  college,10,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
4014,32,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
12809,50,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
10194,19,Some  -  college,10,Never-married,,Own-child,White,male,United-States
9210,49,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
1621,47,9th,5,Divorced,Other-service,Not-in-family,White,Female,United-States
12587,34,11th,7,Married-civ-spouse,Transport-moving,Husband,White,male,United-States
11078,39,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
9850,31,Bachelors,13,Never-married,Tech-support,Not-in-family,White,male,United-States
4590,29,Bachelors,13,Never-married,Sales,Not-in-family,White,male,United-States
3965,46,         HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,United-States
5240,38,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
4804,60,Assoc-voc,11,Married-civ-spouse,Transport-moving,Wife,White,Female,Germany
4169,25,         HS-grad,9,Never-married,Other-service,Unmarried,White,Female,United-States
8326,35,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
3595,21,Some  -  college,10,Never-married,Other-service,Own-child,Black,M,
4088,52,         HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M,United-States
17697,47,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,United-States
15668,31,         HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,M,United-States
15736,50,Some  -  college,10,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
15898,40,         HS-grad,9,Never-married,Craft-repair,Not-in-family,White,M,United-States
363,59,Some  -  college,10,Married-civ-spouse,Sales,Husband,White,M,United-States
7283,21,Some  -  college,10,Never-married,Exec-managerial,Own-child,White,Female,United-States
14979,51,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,M,United-States
32619,46,Some  -  college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
8676,44,Prof-school,15,Separated,Prof-specialty,Unmarried,White,Female,United-States
11108,66,Assoc-voc,11,Widowed,Other-service,Unmarried,Black,Female,United-States
8019,30,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
12776,23,Some  -  college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,M,United-States
5992,21,         HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States
313,60,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,M,United-States
2903,37 YEARS OLD,Masters,14,Never-married,Prof-specialty,Own-child,White,M,United-States
9308,22,         HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,M,United-States
15974,32,Some  -  college,10,Divorced,Exec-managerial,Not-in-family,Black,M,United-States
11047,72,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
16908,29,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,M,United-States
3221,21,Some  -  college,10,Never-married,Craft-repair,Own-child,White,M,United-States
5479,59,         HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,United-States
22804,52,Some  -  college,10,Married-civ-spouse,Prof-specialty,Husband,White,M,Germany
6911,44,         HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,M,United-States
14385,54,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,United-States
739,52,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,United-States
15447,32,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
905,32,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
8754,30,         HS-grad,9,Never-married,Protective-serv,Not-in-family,White,M,United-States
29355,45,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,M,
7428,45,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States
9270,21,Some  -  college,10,Never-married,,Own-child,Black,M,United-States
2096,49,         HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,United-States
13225,66,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,M,Yugoslavia
5812,47,Some  -  college,10,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
4950,60,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
27617,34,Some  -  college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,M,United-States
1774,47,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,Italy
5775,38,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
2725,45,10th,6,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
5527,29,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,M,United-States
28848,48,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
12276,30,         HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States
21028,52,Some  -  college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,Canada
27250,47,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
14195,19,Some  -  college,10,Never-married,Handlers-cleaners,Not-in-family,White,M,United-States
8048,47,         HS-grad,9,Divorced,Other-service,Unmarried,White,Female,Puerto-Rico
3930,57,         HS-grad,9,Married-civ-spouse,Other-service,Husband,White,M,United-States
28840,74,         HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
24374,67,         HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M,United-States
15622,25,         HS-grad,9,Never-married,Craft-repair,Own-child,White,M,United-States
4799,59,10th,6,Married-civ-spouse,Craft-repair,Husband,White,M,United-States
13595,65,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,M,United-States
10187,50,Bachelors,13,Never-married,Sales,Unmarried,White,Female,United-States
1055,41,10th,6,Married-civ-spouse,Craft-repair,Husband,White,M,
9217,25,Some  -  college,10,Never-married,Craft-repair,Own-child,White,Female,United-States
1602,20,Some  -  college,10,Never-married,Other-service,Not-in-family,White,M,United-States
3829,28,         HS-grad,9,Never-married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,United-States
4775,32,         HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,M,United-States
1460,37 YEARS OLD,         HS-grad,9,Never-married,Craft-repair,Not-in-family,White,M,United-States
15701,32,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,M,United-States
2106,57,Some  -  college,10,Never-married,Adm-clerical,Other-relative,Black,Female,Jamaica
15948,36,11th,7,Never-married,Other-service,Unmarried,White,Female,United-States
4163,51,         HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
1011,38,Some  -  college,10,Divorced,Craft-repair,Not-in-family,White,M,United-States
4309,26,Some  -  college,10,Never-married,Tech-support,Own-child,White,Female,United-States
28694,26,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,United-States
28832,59,         HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,Italy
4587,20,Some  -  college,10,Never-married,Other-service,Own-child,White,M,Canada
15251,27,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,M,El-Salvador
13063,21,Some  -  college,10,Never-married,Other-service,Own-child,White,M,United-States
1363,73,         HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,United-States
16031,22,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,M,
13840,18,11th,7,Never-married,Other-service,Own-child,White,M,United-States
9590,18,Some  -  college,10,Never-married,,Own-child,White,Female,United-States
393,21,Some  -  college,10,Never-married,Sales,Own-child,White,M,United-States
12606,40,9th,5,Married-civ-spouse,Other-service,Wife,White,Female,Yugoslavia
6981,52,Some  -  college,10,Separated,Protective-serv,Unmarried,White,M,United-States
14174,40,         HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,M,China
12577,24,Some  -  college,10,Married-civ-spouse,Farming-fishing,Husband,White,M,United-States
15639,35,         HS-grad,9,Separated,Transport-moving,Unmarried,Black,Female,United-States
5380,39,        Some  -  college,10,Married-civ-spouse,Protective-serv,Husband,White,M,United-States
2286,47,Masters,14,Divorced,Prof-specialty,Not-in-family,White,M,United-States
29655,38,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,United-States
3922,54,         HS-grad,9,Divorced,,Not-in-family,White,Female,United-States
31607,38,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,United-States
5059,60,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,M,United-States
22524,37,         HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
23816,37 YEARS OLD,         HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M,United-States
4657,37 YEARS OLD,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,United-States
686,29,        Some  -  college,10,Never-married,Adm-clerical,Not-in-family,White,M,United-States
504,28,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,male,Puerto-Rico
22050,34,Bachelors,13,Married-civ-spouse,Sales,Husband,White,male,United-States
14128,43,Bachelors,13,Never-married,Sales,Not-in-family,White,male,United-States
8560,29,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,male,United-States
12514,42,         HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States
5810,41,        Some  -  college,10,Married-civ-spouse,Adm-clerical,Husband,White,male,United-States
9351,52,Bachelors,13,Divorced,Craft-repair,Unmarried,White,male,United-States
8127,45,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,United-States
6224,48,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
11214,55,        Some  -  college,10,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
18818,40,        Some  -  college,10,Married-civ-spouse,Tech-support,Husband,White,male,United-States
8504,43,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
10134,49,        Some  -  college,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,United-States
1933,42,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
2777,37 YEARS OLD,        Some  -  college,10,Never-married,Adm-clerical,Unmarried,White,male,United-States
11282,41,        Some  -  college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
25556,54,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
10688,19,        Some  -  college,10,Never-married,Adm-clerical,Not-in-family,White,male,United-States
575,46,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,United-States
11124,45,Assoc-acdm,12,Divorced,Machine-op-inspct,Own-child,White,male,United-States
5099,58,        Some  -  college,10,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
109,42,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
9193,58,        Some  -  college,10,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
2652,51,        Some  -  college,10,Married-civ-spouse,Sales,Husband,White,male,United-States
31945,43,        Some  -  college,10,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
600,23,         HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,male,Poland
18552,61,Bachelors,13,Divorced,Sales,Not-in-family,Black,male,United-States
23305,29,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
14744,44,        Some  -  college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
9739,46,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
1133,32,         HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,United-States
16756,51,        Some  -  college,10,Married-civ-spouse,Transport-moving,Husband,White,male,United-States
12200,55,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
10849,39,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
536,34,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,male,United-States
3128,22,        Some  -  college,10,Never-married,Other-service,Not-in-family,White,male,United-States
2732,40,        Some  -  college,10,Married-civ-spouse,,Wife,White,Female,United-States
13078,29,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,male,United-States
10313,35,12th,8,Separated,Other-service,Not-in-family,White,Female,United-States
12157,36,        Some  -  college,10,Divorced,Handlers-cleaners,Not-in-family,White,male,United-States
2175,25,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,male,United-States
8826,36,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,male,Haiti
31079,41,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,male,United-States
6005,60,        Some  -  college,10,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
2681,40,1st-4th,2,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,Dominican-Republic
3943,20,        Some  -  college,10,Never-married,,Own-child,Amer-Indian-Eskimo,male,United-States
9400,42,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Female,United-States
16600,52,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,male,
10139,22,        Some  -  college,10,Never-married,Adm-clerical,Own-child,White,male,United-States
6205,37,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,male,United-States
16885,44,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,male,United-States
14206,17,10th,6,Never-married,Sales,Own-child,White,male,United-States
5389,36,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,male,United-States
19545,52,HS-grad,9,Married-civ-spouse,Sales,Husband,White,male,United-States
8870,27,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
5793,40,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,United-States
2522,29,11th,7,Married-civ-spouse,Transport-moving,Husband,White,male,United-States
1622,30,        Some  -  college,10,Divorced,Exec-managerial,Unmarried,White,Female,United-States
6280,71,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,White,male,United-States
7547,37 YEARS OLD,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,M?֎℮l,United-States
11201,67,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,M?֎℮l,United-States
8589,24,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,M?֎℮l,United-States
9041,49,Assoc-voc,11,Divorced,Sales,Unmarried,White,Female,United-States
5453,34,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M?֎℮l,United-States
2521,68,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,United-States
12963,44,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Female,United-States
24988,54,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,United-States
6672,64,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
3897,68,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,M?֎℮l,United-States
4926,20,        Some  -  college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,Vietnam
7205,46,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,United-States
29534,51,Bachelors,13,Divorced,Sales,Not-in-family,White,M?֎℮l,United-States
11088,37 YEARS OLD,        Some  -  college,10,Divorced,Craft-repair,Unmarried,White,M?֎℮l,United-States
18106,66,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M?֎℮l,United-States
15328,40,        Some  -  college,10,Married-civ-spouse,Sales,Wife,Black,Female,Puerto-Rico
9598,70,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,United-States
9555,23,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,M?֎℮l,United-States
18164,31,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
7526,62,        Some  -  college,10,Widowed,Farming-fishing,Unmarried,White,Female,United-States
12310,37 YEARS OLD,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M?֎℮l,United-States
9395,36,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M?֎℮l,United-States
1606,58,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
11999,39,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
745,50,Doctorate,16,Separated,Prof-specialty,Not-in-family,White,M?֎℮l,United-States
31100,43,        Some  -  college,10,Married-civ-spouse,Transport-moving,Husband,White,M?֎℮l,United-States
6041,37,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States
20607,47,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
2184,28,HS-grad,9,Married-civ-spouse,,Wife,White,Female,Honduras
31261,37,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
7611,37 YEARS OLD,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
29276,55,        Some  -  college,10,Married-civ-spouse,Craft-repair,Husband,Black,M?֎℮l,United-States
398,24,HS-grad,9,Never-married,Craft-repair,Own-child,White,M?֎℮l,United-States
13995,37,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,M?֎℮l,United-States
17772,59,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
25499,40,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
5556,55,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
17185,34,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M?֎℮l,United-States
3770,31,HS-grad,9,Divorced,,Own-child,White,M?֎℮l,United-States
14291,50,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,M?֎℮l,United-States
10429,46,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
14916,39,Bachelors,13,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,Philippines
5159,42,        Some  -  college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
6381,59,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
26205,51,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M?֎℮l,United-States
26193,62,Doctorate,16,Married-civ-spouse,,Husband,Amer-Indian-Eskimo,M?֎℮l,United-States
9640,19,HS-grad,9,Never-married,Other-service,Own-child,Black,M?֎℮l,United-States
25460,34,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,Germany
2190,42,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,M?֎℮l,United-States
5709,35,HS-grad,9,Divorced,Sales,Unmarried,White,Female,United-States
14618,59,        Some  -  college,10,Separated,Sales,Not-in-family,White,M?֎℮l,United-States
9015,41,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,
7701,50,        Some  -  college,10,Never-married,Prof-specialty,Not-in-family,White,M?֎℮l,United-States
4310,36,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
11720,67,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
8255,32,HS-grad,9,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,United-States
12335,42,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,M?֎℮l,El-Salvador
7895,28,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
4941,68,        Some  -  college,10,Divorced,Adm-clerical,Other-relative,Black,Female,United-States
7383,37,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
29822,60,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M?֎℮l,United-States
17470,42,Masters,14,Separated,Exec-managerial,Unmarried,Black,M?֎℮l,United-States
14883,36,Assoc-voc,11,Separated,Exec-managerial,Not-in-family,White,M?֎℮l,United-States
23967,32,        Some  -  college,10,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
13141,53,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,M?֎℮l,United-States
5477,63,Masters,14,Separated,Prof-specialty,Not-in-family,White,Female,United-States
10461,19,        Some  -  college,10,Never-married,,Own-child,White,Female,United-States
21548,39,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
1729,36,Assoc-acdm,12,Married-civ-spouse,,Wife,Black,Female,Haiti
8767,36,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M?֎℮l,United-States
2271,37 YEARS OLD,HS-grad,9,Separated,Protective-serv,Own-child,White,Female,United-States
9662,32,Bachelors,13,Never-married,Prof-specialty,Own-child,White,M?֎℮l,United-States
25746,36,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Other,M?֎℮l,Iran
8649,29,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
6475,50,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,M?֎℮l,United-States
14080,40,        Some  -  college,10,Never-married,Craft-repair,Own-child,White,M?֎℮l,United-States
11059,20,HS-grad,9,Never-married,,Own-child,White,M?֎℮l,United-States
9667,65,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
8332,26,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
16472,67,        Some  -  college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,M?֎℮l,Cuba
8957,46,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M?֎℮l,United-States
12117,65,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M?֎℮l,United-States
1487,40,        Some  -  college,10,Divorced,Exec-managerial,Other-relative,White,M?֎℮l,Iran
4955,20,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States
4145,29,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,M?֎℮l,United-States
11691,27,HS-grad,9,Separated,,Other-relative,White,Female,United-States
13361,22,HS-grad,9,Never-married,Farming-fishing,Own-child,White,M?֎℮l,United-States
14329,40,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M?֎℮l,United-States
22808,53,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
12165,61,        Some  -  college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,M?֎℮l,United-States
7320,27,Doctorate,16,Never-married,Adm-clerical,Own-child,White,Female,United-States
15767,66,HS-grad,9,Widowed,Priv-house-serv,Not-in-family,White,Female,United-States
23201,40,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M?֎℮l,United-States
28215,30,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,M?֎℮l,United-States
10862,45,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,
13369,35,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,M?֎℮l,United-States
2321,57,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,United-States
11118,43,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,M?֎℮l,United-States
5520,45,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,M?֎℮l,United-States
323,54,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,M?֎℮l,United-States
7962,29,Some-college,10,Never-married,,Not-in-family,Black,M?֎℮l,
908,64,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
239,49,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,M?֎℮l,United-States
6486,37,12th,8,Never-married,Other-service,Own-child,White,Female,United-States
4619,21,Assoc-acdm,12,Never-married,,Not-in-family,White,M?֎℮l,United-States
1200,68,7th-8th,4,Married-civ-spouse,,Husband,White,M?֎℮l,United-States
15512,36,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,United-States
7109,40,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States
14950,24,HS-grad,9,Never-married,Other-service,Own-child,White,M?֎℮l,United-States
5569,19,HS-grad,9,Never-married,Prof-specialty,Own-child,White,M?֎℮l,United-States
17038,40,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M?֎℮l,United-States
15333,42,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,M?֎℮l,United-States
