UNIQUE_ID,EMPLOYER_TYPE,OCCUPATION,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,INCOME
28840,Self-emp-inc,Exec-managerial,0,0,30,>50K
24374,Self-emp-not-inc,Transport-moving,6418,0,58,>50K
15622,Private,Craft-repair,0,0,40,<=50K
4799,Private,Craft-repair,0,0,40,<=50K
13595,Private,Transport-moving,0,0,20,<=50K
10187,Private,Sales,0,0,32,<=50K
1055,Private,Craft-repair,0,0,30,<=50K
9217,Private,Craft-repair,0,0,50,<=50K
1602,Private,Other-service,0,0,45,<=50K
3829,Local-gov,Exec-managerial,0,0,35,<=50K
4775,Private,Tech-support,0,0,60,>50K
1460,Private,Craft-repair,0,0,41,<=50K
15701,Private,Exec-managerial,0,0,60,>50K
2106,Private,Adm-clerical,0,0,40,<=50K
15948,Local-gov,Other-service,0,0,23,<=50K
4163,Private,Adm-clerical,0,0,40,<=50K
1011,Private,Craft-repair,0,0,44,<=50K
4309,Private,Tech-support,0,0,40,<=50K
28694,Self-emp-inc,Sales,0,0,80,>50K
28832,Private,Machine-op-inspct,0,0,40,>50K
4587,Private,Other-service,0,0,12,<=50K
15251,Federal-gov,Adm-clerical,4064,0,40,<=50K
13063,Private,Other-service,0,0,40,<=50K
1363,Private,Other-service,0,0,37,<=50K
16031,Private,Machine-op-inspct,0,0,45,<=50K
13840,Private,Other-service,0,0,15,<=50K
9590,,,0,0,40,<=50K
393,Private,Sales,0,0,45,<=50K
12606,Local-gov,Other-service,0,0,40,>50K
6981,State-gov,Protective-serv,0,0,40,<=50K
14174,Private,Other-service,0,0,30,<=50K
12577,Private,Farming-fishing,0,0,50,>50K
15639,Private,Transport-moving,0,0,48,<=50K
5380,State-gov,Protective-serv,0,0,40,<=50K
2286,Self-emp-not-inc,Prof-specialty,0,0,40,<=50K
29655,Private,Prof-specialty,7687.5,0,45,>50K
3922,,,0,0,30,<=50K
31607,Private,Prof-specialty,0,0,40,>50K
5059,Private,Adm-clerical,0,0,40,<=50K
22524,Private,Adm-clerical,0,0,40,>50K
23816,Private,Machine-op-inspct,0,0,40,>50K
4657,Private,Sales,0,0,40,<=50K
686,Private,Adm-clerical,0,0,60,<=50K
504,Private,Handlers-cleaners,0,2179,40,<=50K
22050,Self-emp-inc,Sales,0,0,50,>50K
14128,Self-emp-not-inc,Sales,0,0,45,<=50K
8560,Private,Prof-specialty,0,0,40,<=50K
12514,Private,Adm-clerical,0,0,40,<=50K
5810,Private,Adm-clerical,0,0,46,>50K
9351,Private,Craft-repair,0,0,25,<=50K
8127,Private,Exec-managerial,0,0,55,<=50K
6224,Self-emp-inc,Craft-repair,0,0,60,>50K
11214,Self-emp-not-inc,Craft-repair,0,0,50,<=50K
18818,Private,Tech-support,0,0,55,>50K
8504,Private,Adm-clerical,0,0,40,<=50K
10134,Private,Adm-clerical,0,0,40,<=50K
1933,State-gov,Prof-specialty,0,0,38,<=50K
2777,Private,Adm-clerical,0,0,40,<=50K
11282,Private,Adm-clerical,0,0,40,<=50K
25556,Private,Exec-managerial,0,1977,50,>50K
10688,Private,Adm-clerical,0,0,40,<=50K
575,Private,Craft-repair,0,0,40,<=50K
11124,Private,Machine-op-inspct,0,0,40,<=50K
5099,Local-gov,Prof-specialty,0,0,55,<=50K
109,Private,Exec-managerial,5178,0,40,>50K
9193,Self-emp-inc,Exec-managerial,0,0,50,>50K
2652,Private,Sales,0,0,40,<=50K
31945,Private,Craft-repair,0,1902,40,>50K
600,Local-gov,Farming-fishing,0,0,40,<=50K
18552,Private,Sales,4787,0,48,>50K
23305,State-gov,Craft-repair,0,0,40,>50K
14744,Private,Exec-managerial,0,0,70,>50K
9739,Private,Exec-managerial,0,0,55,>50K
1133,Private,Other-service,0,0,40,<=50K
16756,Private,Transport-moving,0,0,40,>50K
12200,Private,Craft-repair,0,0,40,<=50K
10849,Local-gov,Craft-repair,0,0,40,<=50K
536,Local-gov,Farming-fishing,594,0,60,<=50K
3128,Private,Other-service,0,0,40,<=50K
2732,,,0,0,20,<=50K
13078,Private,Other-service,7298,0,42,>50K
10313,Private,Other-service,0,0,30,<=50K
12157,Private,Handlers-cleaners,0,0,40,<=50K
2175,Federal-gov,Adm-clerical,0,0,40,<=50K
8826,Private,Machine-op-inspct,0,0,40,<=50K
31079,Private,Protective-serv,15024,0,60,>50K
6005,Self-emp-not-inc,Craft-repair,0,0,24,<=50K
2681,Private,Machine-op-inspct,0,0,40,<=50K
3943,,,0,0,72,<=50K
9400,Private,Craft-repair,0,0,40,<=50K
16600,Private,Prof-specialty,0,0,40,>50K
10139,Private,Adm-clerical,0,0,40,<=50K
6205,Private,Exec-managerial,0,0,40,>50K
16885,Private,Prof-specialty,0,0,40,>50K
14206,Private,Sales,0,0,15,<=50K
5389,Private,Machine-op-inspct,0,0,40,<=50K
19545,Private,Sales,0,0,40,>50K
8870,Local-gov,Prof-specialty,0,0,40,<=50K
5793,Private,Adm-clerical,0,0,37,<=50K
2522,Private,Transport-moving,0,0,60,<=50K
1622,Private,Exec-managerial,0,0,40,<=50K
6280,Self-emp-not-inc,Farming-fishing,0,0,2,<=50K
7547,Self-emp-not-inc,Protective-serv,0,0,30,<=50K
11201,Self-emp-not-inc,Farming-fishing,0,0,50,<=50K
8589,Private,Farming-fishing,0,0,50,<=50K
9041,Private,Sales,0,0,40,<=50K
5453,Local-gov,Transport-moving,0,0,45,<=50K
2521,Private,Adm-clerical,0,2206,30,<=50K
12963,Federal-gov,Craft-repair,0,0,40,<=50K
24988,Private,Exec-managerial,0,0,55,>50K
6672,Private,Adm-clerical,0,0,25,<=50K
3897,Private,Transport-moving,0,0,30,<=50K
4926,Private,Adm-clerical,0,0,40,<=50K
7205,Private,Prof-specialty,6497,0,50,<=50K
29534,Private,Sales,0,0,50,>50K
11088,Private,Craft-repair,0,0,50,<=50K
18106,Self-emp-inc,Sales,5556,0,26,>50K
15328,Private,Sales,0,0,40,<=50K
9598,Self-emp-not-inc,Other-service,2329,0,20,<=50K
9555,Private,Handlers-cleaners,0,0,25,<=50K
18164,Private,Exec-managerial,0,0,50,>50K
7526,Self-emp-not-inc,Farming-fishing,0,0,50,<=50K
12310,Private,Craft-repair,0,0,40,>50K
9395,Private,Exec-managerial,0,0,70,<=50K
1606,State-gov,Exec-managerial,0,0,40,<=50K
11999,Private,Exec-managerial,0,0,40,<=50K
745,Self-emp-inc,Prof-specialty,0,0,40,>50K
31100,Private,Transport-moving,0,0,50,>50K
6041,Private,Other-service,0,0,30,>50K
20607,Private,Prof-specialty,15024,0,40,>50K
2184,,,0,0,17,<=50K
31261,Private,Exec-managerial,0,0,50,>50K
7611,Private,Adm-clerical,0,0,40,<=50K
29276,Private,Craft-repair,15024,0,40,>50K
398,Private,Craft-repair,0,0,40,<=50K
13995,Private,Machine-op-inspct,0,1848,48,>50K
17772,Self-emp-inc,Prof-specialty,0,0,40,>50K
25499,Private,Exec-managerial,0,1902,32,>50K
5556,Private,Prof-specialty,0,0,40,>50K
17185,Private,Transport-moving,0,0,40,>50K
3770,,,0,0,75,<=50K
14291,Private,Machine-op-inspct,0,0,40,<=50K
10429,Private,Adm-clerical,0,0,40,<=50K
14916,Private,Prof-specialty,0,0,40,>50K
5159,Private,Adm-clerical,0,0,30,<=50K
6381,Private,Exec-managerial,0,0,40,>50K
26205,Private,Sales,0,0,40,>50K
26193,,,0,0,40,>50K
9640,Private,Other-service,0,0,30,<=50K
25460,State-gov,Prof-specialty,0,0,45,>50K
2190,Private,Sales,0,0,45,>50K
5709,Private,Sales,0,0,40,<=50K
14618,Private,Sales,14084,0,60,>50K
9015,Private,Adm-clerical,0,0,40,<=50K
7701,Private,Prof-specialty,0,0,40,<=50K
4310,Private,Prof-specialty,0,0,48,>50K
11720,Self-emp-not-inc,Exec-managerial,0,0,55,<=50K
8255,Private,Other-service,0,0,40,<=50K
12335,Private,Other-service,0,0,40,<=50K
7895,Private,Prof-specialty,0,0,40,<=50K
4941,Federal-gov,Adm-clerical,2346,0,40,<=50K
7383,Self-emp-inc,Prof-specialty,0,0,45,<=50K
29822,Self-emp-not-inc,Transport-moving,3103,0,60,>50K
17470,Local-gov,Exec-managerial,0,0,45,>50K
14883,Self-emp-not-inc,Exec-managerial,0,0,48,<=50K
23967,Self-emp-inc,Exec-managerial,0,0,55,>50K
13141,Private,Adm-clerical,0,0,35,<=50K
5477,Private,Prof-specialty,0,0,40,>50K
10461,,,0,0,35,<=50K
21548,Private,Exec-managerial,0,0,60,>50K
1729,,,0,0,21,<=50K
8767,Private,Sales,0,0,42,>50K
2271,Private,Protective-serv,0,0,40,<=50K
9662,Private,Prof-specialty,0,0,40,<=50K
25746,Private,Prof-specialty,0,0,40,>50K
8649,Private,Exec-managerial,0,0,45,<=50K
6475,Self-emp-not-inc,Farming-fishing,0,2051,20,<=50K
14080,Self-emp-not-inc,Craft-repair,0,0,40,<=50K
11059,,,0,0,12,<=50K
9667,Private,Exec-managerial,0,0,40,>50K
8332,Local-gov,Prof-specialty,4865,0,35,<=50K
16472,Private,Handlers-cleaners,9386,0,24,>50K
8957,Private,Exec-managerial,0,0,55,>50K
12117,Local-gov,Craft-repair,0,0,40,<=50K
1487,Self-emp-not-inc,Exec-managerial,0,1564,70,>50K
4955,Private,Adm-clerical,0,0,40,<=50K
4145,Private,Machine-op-inspct,0,0,48,<=50K
11691,,,0,0,40,<=50K
13361,Self-emp-not-inc,Farming-fishing,0,0,40,<=50K
14329,Private,Exec-managerial,0,0,50,>50K
22808,Local-gov,Prof-specialty,15024,0,40,>50K
12165,Private,Handlers-cleaners,0,0,20,<=50K
7320,Private,Adm-clerical,0,0,40,<=50K
15767,Private,Priv-house-serv,0,0,8,<=50K
23201,Private,Sales,0,0,40,>50K
28215,State-gov,Adm-clerical,0,0,40,>50K
10862,Self-emp-inc,Exec-managerial,0,0,70,<=50K
13369,Private,Adm-clerical,0,0,40,<=50K
2321,State-gov,Other-service,0,0,35,<=50K
11118,Private,Craft-repair,0,0,40,<=50K
5520,Private,Farming-fishing,0,0,40,<=50K
323,Private,Adm-clerical,0,0,20,<=50K
7962,,,0,0,36,<=50K
908,Private,Prof-specialty,0,0,40,>50K
239,Private,Craft-repair,0,0,40,>50K
6486,Private,Other-service,0,0,40,<=50K
4619,,,0,0,55,<=50K
1200,,,0,0,8,<=50K
15512,Private,Tech-support,0,0,3,<=50K
7109,Private,Other-service,0,0,12,<=50K
14950,Self-emp-not-inc,Other-service,0,0,30,<=50K
5569,Private,Prof-specialty,0,0,40,<=50K
17038,Local-gov,Prof-specialty,7687.5,0,40,>50K
15333,Self-emp-not-inc,Exec-managerial,0,0,55,<=50K
19743,Private,Exec-managerial,15024,0,65,>50K
16903,Local-gov,Prof-specialty,7298,0,40,>50K
21896,Self-emp-not-inc,Sales,0,0,50,>50K
13247,Private,Sales,0,0,41,<=50K
14256,Private,Adm-clerical,0,0,65,<=50K
15861,Private,Handlers-cleaners,0,0,50,<=50K
6512,Private,Handlers-cleaners,0,0,17,<=50K
5797,Private,Adm-clerical,0,0,20,<=50K
3415,Private,Sales,0,0,30,<=50K
15504,Private,Craft-repair,0,0,50,<=50K
15772,Self-emp-not-inc,Craft-repair,0,0,50,<=50K
14488,Private,Other-service,0,0,30,<=50K
15262,Private,Farming-fishing,0,0,40,<=50K
18242,Private,Exec-managerial,0,0,45,>50K
18212,Federal-gov,Exec-managerial,0,0,48,>50K
5331,Private,Exec-managerial,0,0,40,>50K
1325,Private,Adm-clerical,0,0,40,<=50K
9189,Private,Exec-managerial,0,0,45,<=50K
13210,,,0,0,29,<=50K
15368,State-gov,Prof-specialty,0,0,50,<=50K
10952,Private,Adm-clerical,0,0,38,<=50K
11197,Private,Handlers-cleaners,0,0,25,<=50K
1245,Private,Prof-specialty,15024,0,44,>50K
6669,Private,Tech-support,0,0,40,>50K
10142,Self-emp-inc,Prof-specialty,0,0,40,>50K
24766,Self-emp-inc,Sales,0,0,65,>50K
8097,Private,Exec-managerial,0,0,40,<=50K
31021,Private,Handlers-cleaners,0,0,40,>50K
8402,Private,Adm-clerical,0,0,40,<=50K
12245,Private,Exec-managerial,0,0,5,<=50K
20962,Private,Sales,0,0,60,>50K
20455,Federal-gov,Adm-clerical,0,0,40,>50K
8269,Private,Handlers-cleaners,0,0,40,<=50K
22552,Private,Craft-repair,0,0,60,>50K
6100,Local-gov,Exec-managerial,0,0,7,<=50K
23643,Local-gov,Protective-serv,0,0,40,>50K
17100,Private,Prof-specialty,0,1902,50,>50K
17024,Self-emp-not-inc,Craft-repair,15024,0,70,>50K
7241,Private,Adm-clerical,0,0,40,<=50K
8914,Private,Exec-managerial,0,0,60,>50K
2914,Private,Sales,0,0,40,<=50K
8473,Self-emp-not-inc,Craft-repair,0,1485,40,>50K
25083,Local-gov,Prof-specialty,99999,0,75,>50K
4391,Private,Machine-op-inspct,0,0,40,<=50K
2116,Private,Prof-specialty,4865,0,60,<=50K
15216,Private,Craft-repair,0,0,30,<=50K
31051,Private,Prof-specialty,15024,0,45,>50K
3760,Private,Transport-moving,0,0,60,<=50K
13229,Private,Other-service,0,0,38,<=50K
15321,Private,Exec-managerial,0,0,33,<=50K
11513,,,0,0,35,<=50K
10685,Private,Adm-clerical,0,0,40,<=50K
13614,Private,Prof-specialty,0,0,40,>50K
12413,Private,Prof-specialty,0,0,16,<=50K
10899,Local-gov,Exec-managerial,7687.5,0,45,>50K
5203,Self-emp-not-inc,Sales,0,0,60,<=50K
170,Private,Prof-specialty,0,0,32,<=50K
5189,Private,Sales,0,0,55,<=50K
5192,Private,Craft-repair,0,0,58,<=50K
3155,Self-emp-not-inc,Machine-op-inspct,0,0,40,<=50K
25483,Local-gov,Protective-serv,0,0,60,>50K
4537,,,0,0,50,>50K
9338,Local-gov,Adm-clerical,0,0,40,<=50K
14483,Private,Sales,0,0,50,<=50K
12401,Private,Exec-managerial,0,0,40,>50K
10329,Private,Exec-managerial,0,0,40,<=50K
5598,Private,Other-service,0,0,40,<=50K
6458,Local-gov,Adm-clerical,0,0,40,<=50K
5465,Local-gov,Other-service,0,0,40,<=50K
1855,Private,Exec-managerial,0,0,40,<=50K
18990,Self-emp-inc,Prof-specialty,0,0,55,>50K
15609,Private,Craft-repair,0,0,40,<=50K
7105,State-gov,Prof-specialty,0,0,15,<=50K
6272,Private,Other-service,0,0,50,<=50K
2462,Private,Craft-repair,7298,0,44,>50K
1506,Private,Sales,0,0,40,<=50K
9811,Private,Other-service,0,0,40,<=50K
12790,Private,Protective-serv,0,0,40,<=50K
20397,Local-gov,Prof-specialty,4787,0,25,>50K
32365,Local-gov,Other-service,0,0,40,>50K
14230,Private,Prof-specialty,0,0,40,<=50K
1328,Private,Adm-clerical,0,0,40,<=50K
1519,Private,Adm-clerical,0,0,40,<=50K
14800,Private,Exec-managerial,0,0,50,<=50K
11018,Private,Prof-specialty,0,0,35,<=50K
15276,,,0,0,40,<=50K
8954,Private,Sales,15024,0,60,>50K
23698,Private,Exec-managerial,0,0,45,>50K
1203,Private,Exec-managerial,0,0,50,<=50K
15187,Private,Sales,0,0,60,>50K
1707,Private,Craft-repair,0,0,40,<=50K
21610,Self-emp-inc,Exec-managerial,15024,0,50,>50K
32502,Private,Craft-repair,0,0,89,>50K
3908,Local-gov,Prof-specialty,0,0,45,<=50K
8730,Private,Sales,0,0,45,<=50K
7411,Private,Machine-op-inspct,0,0,40,<=50K
9957,Self-emp-not-inc,Prof-specialty,0,0,50,>50K
3358,Private,Handlers-cleaners,0,0,50,<=50K
14857,Federal-gov,Protective-serv,0,0,60,>50K
11590,Private,Adm-clerical,0,0,40,<=50K
9414,Private,Adm-clerical,0,0,40,<=50K
7305,Private,Craft-repair,0,0,50,>50K
7309,Private,Adm-clerical,0,0,40,<=50K
15801,Private,Exec-managerial,0,0,55,<=50K
6214,Self-emp-inc,Adm-clerical,0,0,50,<=50K
22388,Federal-gov,Exec-managerial,0,0,40,>50K
1153,Self-emp-not-inc,Sales,0,0,55,>50K
22541,Self-emp-inc,Craft-repair,0,2415,40,>50K
11808,Private,Other-service,0,2001,40,<=50K
2355,Private,Other-service,0,0,40,<=50K
14116,Local-gov,Protective-serv,0,0,56,>50K
658,Private,Tech-support,0,0,32,<=50K
5609,State-gov,Other-service,0,0,35,<=50K
19041,Private,Adm-clerical,0,0,45,>50K
4241,Private,Machine-op-inspct,0,0,40,<=50K
3411,Private,Prof-specialty,0,0,50,<=50K
29341,Private,Prof-specialty,0,1977,50,>50K
15476,Self-emp-not-inc,Exec-managerial,34095,0,60,<=50K
5213,Federal-gov,Machine-op-inspct,0,0,40,<=50K
12672,Private,Craft-repair,0,0,40,<=50K
2216,Private,Craft-repair,0,1669,55,<=50K
14531,Private,Craft-repair,0,0,46,<=50K
11875,Private,Farming-fishing,0,0,45,<=50K
10099,Private,Sales,0,0,40,<=50K
23349,Local-gov,Exec-managerial,0,0,40,>50K
11028,Private,Craft-repair,0,0,40,<=50K
23441,Private,Exec-managerial,0,0,48,>50K
17709,Self-emp-inc,Sales,18481,0,45,>50K
19868,Private,Prof-specialty,0,0,50,>50K
30000,Private,Exec-managerial,0,0,65,>50K
4772,Private,Sales,6849,0,50,<=50K
15787,Private,Craft-repair,0,0,40,<=50K
10768,State-gov,Adm-clerical,5013,0,40,<=50K
28466,Private,Transport-moving,0,0,73,>50K
4568,Private,Machine-op-inspct,0,0,40,<=50K
18960,Private,Tech-support,4787,0,45,>50K
32470,Self-emp-not-inc,Prof-specialty,27828,0,40,>50K
12286,Private,Adm-clerical,5178,0,60,>50K
2400,Self-emp-not-inc,Exec-managerial,0,0,60,<=50K
496,Private,Handlers-cleaners,0,0,40,<=50K
20635,Local-gov,Protective-serv,7298,0,35,>50K
13111,Private,Tech-support,0,0,40,<=50K
2645,Private,Sales,0,0,50,<=50K
7847,Private,Craft-repair,0,0,50,<=50K
9756,Local-gov,Prof-specialty,0,0,65,<=50K
832,Private,Adm-clerical,0,2377,45,<=50K
30835,Private,Adm-clerical,0,1887,40,>50K
8271,State-gov,Craft-repair,0,0,40,<=50K
13275,Private,Prof-specialty,0,0,40,<=50K
5181,Private,Transport-moving,0,0,40,<=50K
6478,Self-emp-inc,Prof-specialty,0,0,60,>50K
15252,Self-emp-not-inc,Exec-managerial,0,0,40,<=50K
31875,,,0,0,25,>50K
14907,Private,Protective-serv,0,0,70,<=50K
28216,Private,Sales,0,1902,40,>50K
3679,,,0,0,25,<=50K
5392,Private,Sales,0,0,8,<=50K
8131,Private,Prof-specialty,0,0,40,>50K
8128,Private,Other-service,0,0,32,<=50K
10278,Private,Craft-repair,0,0,40,<=50K
2690,Private,Adm-clerical,0,0,40,<=50K
8009,Private,Handlers-cleaners,0,0,40,<=50K
1985,Private,Other-service,0,0,45,<=50K
5376,Private,Exec-managerial,0,0,50,>50K
3998,Local-gov,Other-service,0,0,20,<=50K
1702,State-gov,Prof-specialty,0,0,20,<=50K
4829,,,0,0,20,<=50K
18638,Private,Prof-specialty,0,0,55,>50K
5432,Private,Handlers-cleaners,0,0,25,<=50K
1806,Private,Craft-repair,0,0,48,>50K
16852,Private,Prof-specialty,7687.5,0,40,>50K
2139,Private,Exec-managerial,0,0,40,>50K
774,Self-emp-inc,Sales,0,0,50,>50K
13942,Private,Prof-specialty,0,0,45,<=50K
1446,Self-emp-inc,Exec-managerial,0,0,50,>50K
13915,,,0,0,40,<=50K
10013,Private,Transport-moving,0,0,38,<=50K
15220,State-gov,Adm-clerical,0,0,38,<=50K
12894,,,0,0,40,<=50K
8248,Private,Adm-clerical,0,0,40,<=50K
20191,State-gov,Transport-moving,0,0,38,>50K
8238,Self-emp-not-inc,Sales,0,0,40,<=50K
3079,State-gov,Adm-clerical,0,0,35,<=50K
9983,Local-gov,Farming-fishing,0,0,40,<=50K
9810,Private,Exec-managerial,0,0,40,<=50K
1755,Private,Prof-specialty,15024,0,50,>50K
19298,Private,Prof-specialty,0,0,40,>50K
9352,Private,Other-service,0,1579,40,<=50K
5849,Private,Machine-op-inspct,0,0,40,<=50K
15391,Private,Craft-repair,0,0,40,<=50K
16282,Private,Craft-repair,0,0,40,>50K
13231,Federal-gov,Exec-managerial,0,0,9,<=50K
9035,Self-emp-not-inc,Sales,0,0,50,<=50K
2266,Private,Sales,0,0,40,<=50K
6982,Private,Adm-clerical,0,0,32,<=50K
5455,Private,Handlers-cleaners,0,2042,40,<=50K
4136,Private,Exec-managerial,0,0,15,<=50K
25993,Private,Transport-moving,0,0,40,>50K
4278,Private,Adm-clerical,0,0,40,<=50K
24940,Self-emp-inc,Sales,0,0,60,>50K
1571,Private,Prof-specialty,0,0,40,<=50K
25807,State-gov,Transport-moving,0,0,40,>50K
818,Private,Sales,0,0,15,<=50K
14237,Local-gov,Adm-clerical,0,0,40,<=50K
12737,Self-emp-inc,Exec-managerial,0,0,55,<=50K
12135,Self-emp-not-inc,Farming-fishing,0,0,40,<=50K
27468,Self-emp-inc,Sales,0,0,45,>50K
5125,Self-emp-inc,Sales,0,0,40,<=50K
17014,Federal-gov,Prof-specialty,0,0,40,>50K
3066,Private,Craft-repair,0,0,35,<=50K
14122,Self-emp-not-inc,Exec-managerial,4386,0,13,>50K
2280,Private,Exec-managerial,0,0,50,>50K
2529,Self-emp-not-inc,Farming-fishing,0,0,84,<=50K
3237,Private,Sales,0,1977,40,>50K
879,Private,Tech-support,0,0,40,<=50K
15463,Private,Other-service,0,0,40,<=50K
1840,Private,Adm-clerical,0,0,40,>50K
27571,Private,Craft-repair,0,0,45,>50K
6502,Private,Prof-specialty,0,0,35,<=50K
28846,Private,Exec-managerial,15024,0,50,>50K
15866,Private,Handlers-cleaners,0,0,40,<=50K
1430,Private,Machine-op-inspct,0,0,40,<=50K
193,Private,Sales,0,1573,35,<=50K
27009,Local-gov,Prof-specialty,20051,0,35,>50K
21428,Federal-gov,Craft-repair,0,0,40,>50K
4850,Self-emp-inc,Sales,0,0,35,>50K
7613,Local-gov,Prof-specialty,0,0,45,>50K
15281,Private,Handlers-cleaners,0,0,24,<=50K
896,Private,Machine-op-inspct,0,0,40,<=50K
2591,,,0,0,8,<=50K
17946,Self-emp-inc,Sales,0,0,45,>50K
15692,Private,Tech-support,0,0,40,>50K
11690,Self-emp-not-inc,Craft-repair,0,0,50,<=50K
14359,Self-emp-inc,Prof-specialty,0,1902,50,>50K
13609,Private,Exec-managerial,0,0,40,<=50K
12593,Private,Sales,0,0,50,>50K
5634,Private,Other-service,0,0,75,<=50K
16361,Private,Exec-managerial,0,0,42,>50K
10304,Private,Prof-specialty,0,0,40,<=50K
4504,Private,Craft-repair,0,0,40,>50K
